,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,86.369,0.134,0.012,0.001,0.000
Green,0.020,73.996,14.659,0.023,0.000
Magenta,13.073,24.935,81.191,24.477,9.072
Orange,0.001,0.054,1.753,71.601,0.144
Chocolate,0.537,0.881,2.385,3.899,90.785
