,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,89.289,0.219,0.029,0.002,0.000
Green,0.012,75.921,20.740,0.031,0.000
Magenta,10.420,22.988,74.589,18.629,14.972
Orange,0.077,0.480,3.632,79.981,1.396
Chocolate,0.202,0.392,1.009,1.357,83.632
