,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,83.955,0.054,0.003,0.000,0.000
Green,0.125,79.733,44.831,0.283,0.000
Magenta,15.899,19.887,52.518,29.585,20.099
Orange,0.013,0.278,2.445,68.461,1.506
Chocolate,0.008,0.048,0.203,1.670,78.394
