,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,85.632,0.235,0.038,0.004,0.000
Green,0.047,72.808,30.237,0.222,0.000
Magenta,13.949,25.932,64.927,29.710,19.824
Orange,0.102,0.592,3.823,67.847,1.877
Chocolate,0.270,0.433,0.976,2.217,78.298
