,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,83.850,0.140,0.017,0.001,0.000
Green,0.040,70.702,22.608,0.103,0.000
Magenta,15.473,28.112,73.220,33.050,11.377
Orange,0.001,0.080,1.867,61.479,0.184
Chocolate,0.636,0.967,2.289,5.367,88.438
