,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.036,1.084,0.375,0.053,0.014
Green,1.636,77.254,25.181,1.039,0.025
Magenta,0.387,19.562,68.046,7.638,0.414
Orange,0.019,0.479,3.518,86.925,1.423
Chocolate,0.922,1.622,2.880,4.346,98.124
