,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,88.125,0.234,0.031,0.002,0.000
Green,0.023,75.289,22.399,0.053,0.000
Magenta,11.543,23.578,72.661,21.429,16.648
Orange,0.085,0.498,3.883,76.946,1.589
Chocolate,0.223,0.401,1.026,1.569,81.763
