,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,82.463,0.000,0.000,0.000,0.000
Green,0.000,61.039,12.193,0.000,0.000
Magenta,16.748,37.832,85.937,42.004,6.027
Orange,0.000,0.000,0.000,53.422,0.000
Chocolate,0.788,1.129,1.871,4.574,93.973
