,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,87.098,0.392,0.058,0.004,0.000
Green,0.002,76.028,52.163,0.167,0.000
Magenta,12.569,22.762,45.630,28.337,21.347
Orange,0.086,0.420,1.478,70.034,2.477
Chocolate,0.245,0.397,0.670,1.458,76.176
