,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,86.428,0.503,0.070,0.005,0.000
Green,0.008,74.041,50.886,0.532,0.000
Magenta,13.216,24.557,46.641,32.491,23.277
Orange,0.091,0.473,1.726,65.301,3.023
Chocolate,0.258,0.425,0.677,1.672,73.699
