,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,87.600,0.122,0.011,0.001,0.000
Green,0.012,74.838,12.900,0.013,0.000
Magenta,11.899,24.133,83.237,21.509,7.923
Orange,0.001,0.050,1.528,75.068,0.117
Chocolate,0.489,0.856,2.323,3.409,91.960
