,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,85.278,0.275,0.029,0.001,0.000
Green,0.007,74.011,42.812,0.145,0.000
Magenta,14.131,24.773,55.181,32.906,12.252
Orange,0.001,0.039,0.408,63.164,0.331
Chocolate,0.584,0.901,1.570,3.784,87.417
