,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,87.740,0.037,0.001,0.000,0.000
Green,0.167,80.949,33.977,0.268,0.000
Magenta,12.094,18.969,63.756,19.638,17.410
Orange,0.000,0.043,2.229,79.537,0.469
Chocolate,0.000,0.003,0.036,0.558,82.120
