,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.324,1.197,0.388,0.064,0.016
Green,2.085,74.950,26.521,1.331,0.033
Magenta,0.486,21.587,66.344,9.456,0.526
Orange,0.023,0.541,3.800,83.943,1.823
Chocolate,1.082,1.725,2.947,5.207,97.602
