,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,84.103,0.078,0.004,0.000,0.000
Green,0.528,79.602,48.417,0.749,0.000
Magenta,15.370,20.260,49.194,25.670,21.372
Orange,0.000,0.057,2.353,72.688,0.716
Chocolate,0.000,0.003,0.032,0.892,77.912
