,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,80.076,0.089,0.005,0.000,0.000
Green,0.415,77.745,49.201,0.805,0.000
Magenta,19.482,21.768,47.305,36.354,25.088
Orange,0.017,0.344,3.262,60.595,2.203
Chocolate,0.010,0.054,0.227,2.247,72.709
