,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,86.428,0.443,0.061,0.004,0.000
Green,0.008,75.077,51.800,0.311,0.000
Magenta,13.216,23.624,45.953,29.824,21.973
Orange,0.091,0.445,1.518,68.326,2.688
Chocolate,0.258,0.411,0.669,1.535,75.338
