,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.056,0.059,0.064,0.107,0.065
Continuum_2,0.032,0.048,0.048,0.031,0.022
Continuum_3,0.022,0.029,0.028,0.025,0.025
