,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,83.860,0.325,0.035,0.001,0.000
Green,0.015,72.706,44.271,0.263,0.000
Magenta,15.484,25.985,53.581,35.795,13.328
Orange,0.001,0.045,0.552,59.823,0.418
Chocolate,0.639,0.940,1.561,4.117,86.254
