,SNR,Signal,Noise
Spettro_1,-1.421,-0.097,0.068
Spettro_2,2.125,0.116,0.055
Spettro_3,4.655,0.268,0.058
Spettro_4,2.572,0.204,0.079
Spettro_5,11.730,0.586,0.050
Spettro_6,25.933,2.354,0.091
Spettro_7,109.458,8.961,0.082
Spettro_8,1125.207,138.322,0.123
Spettro_9,481.151,91.554,0.190
Spettro_10,506.220,43.247,0.085
Spettro_11,227.382,26.764,0.118
Spettro_12,290.667,29.559,0.102
Spettro_13,73.065,7.262,0.099
Spettro_14,22.118,1.339,0.061
Spettro_15,2.754,0.237,0.086
Spettro_16,3.307,0.232,0.070
Spettro_17,1.115,0.064,0.057
Spettro_18,1.633,0.081,0.050
Spettro_19,4.162,0.211,0.051
Spettro_20,-0.772,-0.056,0.073
