,SNR,Signal,Noise
Spettro_1,1.947,0.143,0.073
Spettro_2,1.058,0.072,0.068
Spettro_3,1.263,0.086,0.068
Spettro_4,0.195,0.012,0.063
Spettro_5,6.608,0.399,0.060
Spettro_6,12.809,0.890,0.069
Spettro_7,53.923,3.945,0.073
Spettro_8,140.713,38.974,0.277
Spettro_9,94.577,31.324,0.331
Spettro_10,136.586,19.350,0.142
Spettro_11,104.847,10.159,0.097
Spettro_12,127.581,12.267,0.096
Spettro_13,51.967,4.211,0.081
Spettro_14,16.772,1.015,0.060
Spettro_15,4.726,0.277,0.059
Spettro_16,2.212,0.136,0.061
Spettro_17,0.993,0.076,0.076
Spettro_18,-0.946,-0.044,0.046
Spettro_19,-3.146,-0.192,0.061
Spettro_20,1.474,0.102,0.069
