,SNR,Signal,Noise
Spettro_1,3.386,0.340,0.101
Spettro_2,1.729,0.230,0.133
Spettro_3,1.052,0.119,0.113
Spettro_4,1.718,0.262,0.153
Spettro_5,1.864,0.215,0.116
Spettro_6,4.674,0.631,0.135
Spettro_7,13.708,1.739,0.127
Spettro_8,39.191,11.017,0.281
Spettro_9,31.877,11.469,0.360
Spettro_10,24.885,4.684,0.188
Spettro_11,16.970,3.595,0.212
Spettro_12,35.630,5.295,0.149
Spettro_13,19.677,2.932,0.149
Spettro_14,4.132,0.620,0.150
Spettro_15,1.530,0.190,0.124
Spettro_16,0.877,0.124,0.141
Spettro_17,-0.017,-0.002,0.124
Spettro_18,1.957,0.177,0.091
Spettro_19,-0.211,-0.026,0.123
Spettro_20,0.626,0.065,0.104
