,SNR,Signal,Noise
Spettro_1,0.654,0.036,0.055
Spettro_2,1.043,0.051,0.049
Spettro_3,-0.679,-0.034,0.049
Spettro_4,3.080,0.173,0.056
Spettro_5,2.967,0.180,0.061
Spettro_6,7.948,0.836,0.105
Spettro_7,41.230,2.438,0.059
Spettro_8,21.049,1.364,0.065
Spettro_9,11.704,0.851,0.073
Spettro_10,3.593,0.275,0.077
Spettro_11,7.066,0.400,0.057
Spettro_12,3.080,0.201,0.065
Spettro_13,1.500,0.061,0.041
Spettro_14,-2.375,-0.180,0.076
Spettro_15,-0.413,-0.024,0.059
Spettro_16,1.034,0.061,0.059
Spettro_17,2.198,0.114,0.052
Spettro_18,0.067,0.004,0.061
Spettro_19,-0.025,-0.001,0.037
Spettro_20,-1.528,-0.073,0.047
