,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.086,0.085,0.085,0.100,0.107
Continuum_2,0.075,0.079,0.077,0.085,0.085
Continuum_3,0.057,0.066,0.066,0.063,0.058
