,SNR,Signal,Noise
Spettro_1,3.580,0.079,0.022
Spettro_2,4.891,0.103,0.021
Spettro_3,3.092,0.087,0.028
Spettro_4,3.785,0.127,0.034
Spettro_5,10.389,0.276,0.027
Spettro_6,17.079,0.704,0.041
Spettro_7,34.966,1.706,0.049
Spettro_8,41.847,4.004,0.096
Spettro_9,12.186,5.737,0.471
Spettro_10,62.385,14.877,0.238
Spettro_11,136.117,36.721,0.270
Spettro_12,177.967,45.332,0.255
Spettro_13,78.847,31.563,0.400
Spettro_14,64.591,7.090,0.110
Spettro_15,39.705,1.279,0.032
Spettro_16,9.042,0.314,0.035
Spettro_17,5.445,0.117,0.021
Spettro_18,2.927,0.095,0.032
Spettro_19,1.174,0.025,0.022
Spettro_20,1.840,0.044,0.024
