,SNR,Signal,Noise
Spettro_1,9.289,0.128,0.014
Spettro_2,15.940,0.270,0.017
Spettro_3,14.060,0.296,0.021
Spettro_4,25.278,0.479,0.019
Spettro_5,29.388,0.621,0.021
Spettro_6,23.785,0.898,0.038
Spettro_7,76.407,2.012,0.026
Spettro_8,121.658,3.661,0.030
Spettro_9,50.440,4.343,0.086
Spettro_10,127.920,9.008,0.070
Spettro_11,170.820,11.653,0.068
Spettro_12,71.913,9.092,0.126
Spettro_13,299.132,17.215,0.058
Spettro_14,340.296,7.171,0.021
Spettro_15,80.275,1.982,0.025
Spettro_16,45.679,0.765,0.017
Spettro_17,10.353,0.235,0.023
Spettro_18,5.754,0.141,0.025
Spettro_19,3.041,0.061,0.020
Spettro_20,5.073,0.126,0.025
