,SNR,Signal,Noise
Spettro_1,3.313,0.065,0.020
Spettro_2,2.665,0.069,0.026
Spettro_3,3.213,0.100,0.031
Spettro_4,4.494,0.161,0.036
Spettro_5,6.232,0.203,0.033
Spettro_6,15.083,0.330,0.022
Spettro_7,33.343,0.772,0.023
Spettro_8,22.138,1.429,0.065
Spettro_9,13.095,1.777,0.136
Spettro_10,43.590,4.820,0.111
Spettro_11,85.481,7.885,0.092
Spettro_12,61.225,6.974,0.114
Spettro_13,192.890,12.168,0.063
Spettro_14,118.169,3.955,0.033
Spettro_15,18.342,0.864,0.047
Spettro_16,10.357,0.318,0.031
Spettro_17,3.678,0.135,0.037
Spettro_18,0.266,0.006,0.024
Spettro_19,-0.803,-0.019,0.024
Spettro_20,1.873,0.055,0.029
