Name,Flux,Error_flux
Hbeta,0.19793139849607036,0.033266372504416504
Halpha,0.6271713300414636,0.043872963720269234
[SII]6716,0.1826944382142885,0.023343756321193565
[SII]6731,0.09443390159913347,0.013374196177374235
HeII4687,0.0,0.011635569463995564
HeI5876,0.02728526867265582,0.014322304547501306
[OIII]4959,0.0960534470344753,0.020956543225934196
[OIII]5007,0.2881603411034259,0.020956543225934196
[OI]6300,0.0027344001943454014,0.012646825297853895
[OI]6364,0.0009114667314484672,0.012646825297853895
[NII]6548,0.020584102502708975,0.04236919765302693
[NII]6583,0.06175230750812692,0.04236919765302693
