,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.045,0.057,0.074,0.095,0.130,0.186,0.318,0.812,3.064,2.402,2.504,4.581,1.113,0.287,0.110,0.088,0.065,0.061,0.054,0.044
Continuum_2,0.048,0.059,0.074,0.092,0.121,0.165,0.255,0.578,2.095,1.896,1.610,2.746,0.824,0.248,0.105,0.088,0.069,0.064,0.052,0.049
Continuum_3,0.044,0.055,0.067,0.084,0.109,0.145,0.223,0.486,1.702,1.615,1.306,2.021,0.671,0.214,0.094,0.079,0.063,0.058,0.046,0.045
