,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.039,0.023,0.026,0.018,0.019
Continuum_2,0.040,0.021,0.023,0.016,0.017
Continuum_3,0.040,0.018,0.021,0.014,0.016
