,Component 1,Component 2,Component 3,Component 4
I_e,0.5176,0.0156,0.2582,0.0827
r_e,1.6947,49.9922,17.8103,3.2901
n,0.6634,2.3206,0.7243,0.7619
x_0,31.6638,36.1193,44.7319,60.2555
