,Component 1,Component 2,Component 3,Component 4
I_e error,0.5804,0.0580,0.0470,0.0268
r_e error,0.3388,285.4419,2.1981,39.5711
n error,0.9864,3.2276,0.0542,1.3565
x_0 error,0.0939,0.0702,1.0197,0.2945
