,Component 1,Component 2,Component 3,Component 4
I_e,1.4740,0.7255,0.2774,0.0888
r_e,2.4444,2.4542,20.2004,4.0831
n,1.1104,0.9013,0.9501,0.9476
x_0,31.7651,36.8083,43.2319,59.7095
