,Component 1,Component 2,Component 3,Component 4
I_e,0.4977,0.0117,0.3290,0.0133
r_e,1.2556,81.8457,15.3583,16.7339
n,0.4210,2.1485,0.5561,1.9031
x_0,31.5263,35.6242,44.0823,60.5910
