,Peak 1,Peak 2,Peak 3,Peak 4
Blue,83.436,42.768,2.285,2.366
Green,11.951,46.413,1.774,1.209
Purple,3.627,8.716,91.114,34.407
Orange,0.986,2.103,4.827,62.018
