,Peak 1,Peak 2,Peak 3,Peak 4
Blue,92.606,54.210,2.402,1.376
Green,6.225,41.943,2.091,1.704
Purple,0.643,2.420,89.907,21.143
Orange,0.525,1.427,5.599,75.777
