,Peak 1,Peak 2,Peak 3,Peak 4
Blue,76.784,42.508,2.172,2.072
Green,17.527,45.528,4.120,5.040
Purple,3.821,8.608,88.133,29.853
Orange,1.869,3.356,5.575,63.035
