,Peak 1,Peak 2,Peak 3,Peak 4
Blue,95.667,42.327,1.661,1.241
Green,3.463,54.105,1.457,1.533
Purple,0.471,2.223,92.877,18.846
Orange,0.399,1.345,4.004,78.380
