,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.041,0.115,0.120,0.292,0.162,0.131,0.075
Continuum_2,0.039,0.099,0.107,0.235,0.156,0.115,0.070
Continuum_3,0.035,0.084,0.094,0.195,0.143,0.098,0.063
