,SNR,SNR,SNR,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,5.833,10.808,12.821,18.496,14.884,13.669,9.441,0.041,0.115,0.120,0.292,0.162,0.131,0.075,0.007,0.011,0.009,0.016,0.011,0.010,0.008
Continuum_2,5.996,10.699,11.995,16.373,15.163,12.681,10.251,0.039,0.099,0.107,0.235,0.156,0.115,0.070,0.007,0.009,0.009,0.014,0.010,0.009,0.007
Continuum_3,3.951,7.118,7.689,11.925,11.230,8.932,5.067,0.035,0.084,0.094,0.195,0.143,0.098,0.063,0.009,0.012,0.012,0.016,0.013,0.011,0.012
