,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.007,0.011,0.009,0.016,0.011,0.010,0.008
Continuum_2,0.007,0.009,0.009,0.014,0.010,0.009,0.007
Continuum_3,0.009,0.012,0.012,0.016,0.013,0.011,0.012
