,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,5.833,10.808,12.821,18.496,14.884,13.669,9.441
Continuum_2,5.996,10.699,11.995,16.373,15.163,12.681,10.251
Continuum_3,3.951,7.118,7.689,11.925,11.230,8.932,5.067
