,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,25.103,0.019,0.001,0.000,0.000
Green,13.575,48.883,13.889,0.152,0.009
Purple,51.005,41.292,65.714,19.476,6.227
Orange,10.037,9.448,19.415,73.600,8.485
Chocolate,0.281,0.358,0.982,6.773,85.279
