,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0181,0.1314,14.2828,0.0182,0.3930
r_e error,6.0299,0.6137,4.4341,4.4115,173.6675
n error,0.3566,0.0888,0.9227,0.2043,45.7283
x_0 error,0.0585,0.0472,0.1305,0.2579,0.2985
