,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.0071,0.3139,0.1481,0.0172,0.9146,3055632.7434
r_e error,31.4737,0.6427,1.0879,2.4440,0.9924,37.9080
n error,0.5474,0.1435,0.2458,0.1457,0.1500,34319.2209
x_0 error,0.0791,0.0755,0.1433,0.2284,0.5810,299.0674
