,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0079,0.0175,0.8235,1.2185,0.0673,0.4227,0.1725
r_e,0.4278,65.0495,1.8655,4.8802,28.8808,3.7013,4.2858
n,0.4745,2.0799,0.6902,1.1130,0.0559,1.0318,0.7213
x_0,18.7184,39.6099,34.0447,47.9034,55.1715,54.0250,67.0932
