,Component 1,Component 2,Component 3,Component 4
I_e,0.5387,0.3915,0.7677,0.0147
r_e,2.4049,14.2783,1.7729,29.9889
n,0.9971,1.8889,0.5199,2.2780
x_0,34.0341,47.9586,53.8730,67.3855
