,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,4.3210,0.0156,0.1287,0.2009,0.0565,0.1036,0.0433
r_e error,20.4815,40.1488,0.1768,0.7495,2.9150,0.7773,1.0419
n error,533.5783,0.6822,0.1235,0.1140,0.0310,0.1827,0.1869
x_0 error,3.5183,0.0249,0.0514,0.0413,0.6487,0.0973,0.1961
