,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.0099,1.4726,0.4153,0.0759,0.0267,10.2819
r_e,60.2974,3.9354,4.4715,15.9027,7.5275,0.0002
n,3.6992,1.0160,1.1226,1.3378,0.0256,0.1431
x_0,34.0542,47.9289,53.8307,66.9976,38.6510,55.8996
