,Component 1,Component 2,Component 3,Component 4
I_e error,0.1213,0.0394,0.2137,0.0114
r_e error,0.3161,1.0482,0.2651,19.0444
n error,0.1807,0.0749,0.2137,0.5780
x_0 error,0.0619,0.0482,0.1207,0.2014
