,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2233,0.2301,0.4702,0.4775,0.6260
r_e,24.9484,0.4820,10.4537,6.8690,13.0424
n,1.6252,2.4448,0.6585,2.3494,0.5959
x_0,19.1839,33.8072,47.4639,67.6498,77.2780
