,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,8.0202,0.1000,5.6509,1.5880,14.4539
r_e,4.0821,36.5576,49.9952,14.9008,4.1905
n,0.4201,0.1236,0.8125,2.1841,0.1787
x_0,19.5000,32.1309,45.0004,67.5596,81.3318
