,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2028,0.0925,0.7974,0.2159,0.3863
r_e,29.3243,0.5448,10.2539,10.6450,12.3974
n,1.3271,2.8155,0.2585,2.3640,0.8708
x_0,19.1081,33.1980,48.7338,67.5089,80.4535
