,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1309,0.0898,0.4871,0.2680,0.3742
r_e,45.5998,2.2272,10.1871,12.5033,15.7238
n,1.6517,1.8040,0.6028,2.1317,0.7520
x_0,19.2536,33.0952,47.0294,67.1710,78.7381
