,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,6.179,7.039,6.195,9.048,8.596
Continuum_2,8.296,9.619,9.825,15.489,12.132
Continuum_3,7.719,9.780,9.880,14.486,12.499
