Name,Flux,Error flux
Hgamma,0.2141396933437533,0.023505700626790457
Hbeta,0.6053664891654565,0.06308047591412838
Halpha,2.5866270647203917,0.0619320872693066
[SII]6716,0.38486762879911424,0.03385954822803882
[SII]6731,0.2268975217120093,0.03738507529025977
HeII4687,0.03187537991985484,0.010227636765568945
HeI5876,0.036522047879928805,0.016697836581377603
[OIII]5007_d,0.1566948088856084,0.02517116463187466
[OI]6300_d,0.1355855410380423,0.015307237712366754
[NII]6583_d,1.2723397891553634,0.07498320522064451
