,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.017,0.017,0.019,0.039,0.020
Continuum_2,0.014,0.014,0.014,0.028,0.033
Continuum_3,0.014,0.014,0.015,0.037,0.017
