,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,1.1223,0.5777,0.5630,3.5588,0.7388,0.0591
r_e,8.9753,1.5301,2.9766,7.2005,3.6402,0.0545
n,1.8730,0.0328,1.2805,1.3463,1.6459,4.7246
x_0,30.3222,38.9053,42.8498,59.0513,64.0246,55.5034
