,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.9539,1.1419,0.2718,3.9028,0.5630,0.0651,0.0143
r_e,9.8153,1.3349,4.9212,6.7112,4.7005,0.6428,42.2131
n,2.0088,1.0112,1.8091,1.2787,1.8055,4.0758,0.0905
x_0,30.3189,38.9532,42.8968,59.0467,64.0453,55.4291,65.2226
