,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,1.1668,0.3360,0.4175,0.7382,0.5731,0.5989,1.6580
r_e,10.6358,14.9529,37.2270,0.0000,2.5986,29.2644,1.6949
n,0.8819,1.6990,1.3723,1.5756,0.1029,1.2314,0.4958
x_0,14.8636,29.3361,57.1497,61.5483,71.5000,76.0000,82.4125
