,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0844,0.1870,0.1419,0.2332,0.6472,0.1793,1.2258
r_e,9.6570,5.4165,7.0205,0.6638,0.1028,11.7514,1.0745
n,1.5999,3.2650,1.9587,0.3527,1.8795,1.5099,0.3371
x_0,14.3070,28.8141,56.9392,61.3772,70.2808,77.5099,83.2151
