,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0210,0.1168,0.0309,3.9481,0.0376,0.0226,0.6658
r_e,20.8296,3.2074,15.7984,0.0000,0.0599,33.7028,0.2798
n,1.6625,1.5486,1.4841,4.1999,2.6501,1.7910,0.3719
x_0,14.3655,28.8467,57.0368,61.5756,71.2236,77.3601,83.1892
