,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0113,0.1029,0.0252,0.0015,0.0262,0.0290,0.1241
r_e,41.4691,3.6663,15.2811,1.6215,1.8886,25.0677,0.9592
n,1.9601,2.1819,1.9899,6.5181,1.2653,1.6692,0.9520
x_0,14.3789,28.8657,57.0403,62.2037,70.6482,77.6116,83.0259
