,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.8425,0.3073,0.6465,1.3743,0.7529,1.9741,0.9509
r_e,13.1883,13.4612,31.4905,0.0000,3.2948,5.8761,16.7396
n,0.9615,1.7102,1.2040,5.2582,0.1000,0.1000,0.1000
x_0,14.4871,29.0638,57.2162,61.1674,70.0000,78.4496,81.3134
